source,series_id,date,value,realtime_start,realtime_end,label,category,gold_driver,update_frequency,units_hint,fetched_utc,ssl_mode
FRED,DCOILBRENTEU,2024-03-29,,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-01,,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-02,87.63,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-03,90.6,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-04,90.32,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-05,92.81,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-08,91.73,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-09,92.13,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-10,91.57,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-11,91.49,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-12,93.12,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-15,90.84,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-16,91.29,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-17,89.54,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-18,88.34,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-19,87.96,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-22,87.3,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-23,88.29,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-24,89.02,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-25,88.1,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-26,89.95,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-29,88.44,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-04-30,88.23,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-01,83.55,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-02,84.81,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-03,83.6,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-06,,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-07,82.69,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-08,82.44,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-09,83.27,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-10,83.39,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-13,83.18,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-14,81.0,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-15,79.98,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-16,81.65,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-17,82.24,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-20,81.91,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-21,81.22,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-22,79.9,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-23,79.25,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-24,78.92,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-27,,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-28,81.34,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-29,81.5,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-30,81.42,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-05-31,79.41,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-03,76.45,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-04,75.33,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-05,75.41,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-06,77.62,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-07,78.12,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-10,79.59,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-11,80.15,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-12,80.52,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-13,81.44,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-14,81.49,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-17,82.45,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-18,84.79,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-19,85.64,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-20,85.92,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-21,86.42,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-24,86.75,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-25,86.81,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-26,85.76,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-27,87.0,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-06-28,87.26,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-01,86.57,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-02,88.28,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-03,88.25,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-04,88.34,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-05,88.66,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-08,87.15,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-09,86.48,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-10,86.55,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-11,86.49,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-12,87.35,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-15,86.42,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-16,86.6,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-17,85.76,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-18,86.26,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-19,85.19,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-22,83.44,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-23,82.2,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-24,83.01,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-25,82.58,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-26,81.35,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-29,80.94,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-30,79.26,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-07-31,81.39,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-01,81.37,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-02,78.35,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-05,77.51,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-06,76.62,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-07,78.26,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-08,80.76,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-09,81.07,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-12,83.06,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-13,82.51,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-14,82.15,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-15,83.09,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-16,81.56,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-19,81.09,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-20,78.85,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-21,78.77,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-22,78.8,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-23,80.34,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-26,,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-27,81.51,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-28,80.04,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-29,81.55,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-08-30,80.2,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-02,77.82,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-03,76.46,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-04,74.67,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-05,74.47,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-06,72.82,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-09,72.37,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-10,70.34,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-11,70.31,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-12,73.81,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-13,73.68,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-16,73.96,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-17,74.55,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-18,74.52,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-19,75.93,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-20,75.96,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-23,74.95,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-24,75.29,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-25,75.4,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-26,73.06,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-27,71.63,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-09-30,72.35,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-01,75.3,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-02,74.86,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-03,77.57,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-04,79.32,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-07,81.74,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-08,78.19,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-09,77.06,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-10,79.45,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-11,80.27,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-14,78.47,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-15,73.68,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-16,73.65,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
FRED,DCOILBRENTEU,2024-10-17,74.37,2026-06-09,2026-06-09,Brent crude oil spot price,oil,oil_inflation_pressure,daily,usd_per_barrel,2026-06-10T04:48:23+00:00,default
